date,close
2026-03-30,118.1
2026-03-31,120.29
2026-04-01,120.84
2026-04-02,120.87
2026-04-06,120.85
2026-04-07,119.28
2026-04-08,123.18
2026-04-09,122.68
2026-04-10,121.42
2026-04-13,120.15
2026-04-14,119.96
2026-04-15,117.9
2026-04-16,115.46
2026-04-17,119.07
2026-04-20,117.1
2026-04-21,112.56
2026-04-22,112.89
2026-04-23,114.62
2026-04-24,111.9
2026-04-27,110.23
2026-04-28,110.03
2026-04-29,110.95
2026-04-30,109.18
2026-05-01,112.16
2026-05-04,113.11
2026-05-05,113.15
2026-05-06,113.56
2026-05-07,112.3
2026-05-08,111.38
2026-05-11,111.28
2026-05-12,112.37
2026-05-13,113.45
2026-05-14,113.41
2026-05-15,111.38
2026-05-18,112.56
2026-05-19,114.24
2026-05-20,113.0
2026-05-21,115.88
2026-05-22,122.41
2026-05-26,119.72
2026-05-27,120.24
2026-05-28,119.89
2026-05-29,118.72
2026-06-01,115.17
2026-06-02,115.65
2026-06-03,114.7
2026-06-04,120.26
2026-06-05,120.79
2026-06-08,119.52
2026-06-09,119.6
2026-06-10,119.09
2026-06-11,120.76
2026-06-12,119.05
2026-06-15,114.9
2026-06-16,115.17
2026-06-17,115.44
2026-06-18,113.87
2026-06-22,115.48
2026-06-23,119.6
2026-06-24,120.6
2026-06-25,125.45
2026-06-26,128.66
2026-06-29,129.38
2026-06-30,128.5
2026-07-01,125.37
2026-07-02,129.56
2026-07-06,126.78
2026-07-07,128.86
2026-07-08,125.99
2026-07-09,125.07
2026-07-10,123.54
2026-07-13,124.03
2026-07-14,120.78
2026-07-15,123.61
2026-07-16,127.63
2026-07-17,127.5
2026-07-20,124.4
2026-07-21,126.26
2026-07-22,127.47
2026-07-23,130.48
2026-07-24,131.07
2026-07-27,130.76
2026-07-28,131.82
2026-07-29,130.36
2026-07-30,129.79
2026-07-31,130.2
2026-08-03,127.77
2026-08-04,128.0
2026-08-05,128.33
2026-08-06,128.37
2026-08-07,128.58
2026-08-10,130.92
2026-08-11,130.42
2026-08-12,132.92
2026-08-13,135.55
2026-08-14,135.84
2026-08-17,135.97
2026-08-18,135.17
2026-08-19,152.2
2026-08-20,148.99
